NO,PEKERJAAN,KETERANGAN_PEKERJAAN,TANGGAL_LAHIR,STATUS_PERNIKAHAN,KETERANGAN_STATUS_PERNIKAHAN,KELURAHAN,KECAMATAN,KOTA,PROVINSI,PRODUK,SUB_PRODUK,KETERANGAN_SUB_PRODUK,TANGGAL_INPUT,PLAFOND,JK_WAKTUBULAN,HASIL_PRESCREENING_SLIK,HASIL_PRESCREENING_SIKPKUR,HASIL_PRESCREENING_DUKCAPIL,HASIL_PRESCREENING_DHNBI,HASIL_PRESCREENING_1,STATUS,KOLEKTABILITAS,KETERANGAN
35,19,"Tenaga Medis (Perawat, Bidan, dan sebagainya)",1993-07-15,B,Belum Kawin,LAMOLDA,LUMAR,KAB. BENGKAYANG,KALIMANTAN BARA,Konsumer,KMG,Kredit Multi Guna,2025-08-28,173000000.0,61,High,-,Sesuai,Tidak,Lolos,Waiting Approval,3,Kurang Lancar
36,13,Wiraswasta,1968-03-18,D,Cerai,SLOGO,TANON,KAB. SRAGEN,JAWA TENGAH,Mikro,Mikro KUR,Mikro Kredit Usaha Rakyat,2022-07-27,450000000.0,60,Medium,Terdaftar KUR di Bank Lain,Sesuai,Tidak,Tidak Lolos,Reject,2,Dalam Perhatian Khusus
37,34,Ibu rumah tangga,1977-11-13,K,Kawin,CILANGKAP,TAPOS,KOTA DEPOK,JAWA BARAT,Mikro,Mikro KUR,Mikro Kredit Usaha Rakyat,2023-05-29,500000000.0,60,Medium,Terdaftar KUR di Bank Lain,Sesuai,Tidak,Tidak Lolos,Reject,2,Dalam Perhatian Khusus
38,13,Wiraswasta,1958-11-26,K,Kawin,TELUKAN,GROGOL,KAB. SUKOHARJO,JAWA TENGAH,Mikro,Mikro KUR,Mikro Kredit Usaha Rakyat,2024-01-31,225000000.0,24,Low,Tidak Terdaftar KUR,Sesuai,Tidak,Lolos,Accept,1,Lancar
39,9,"Pengajar (Guru,Dosen)",1966-08-03,K,Kawin,PULAU PARI,KEPULAUAN SERIBU SELATAN,KEPULAUAN SERIBU,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2022-02-23,92000000.0,48,Medium,-,Sesuai,Ya,Lolos Bersyarat,Reject,2,Dalam Perhatian Khusus
40,13,Wiraswasta,1997-10-12,B,Belum Kawin,KEBON JERUK,ANDIR,BANDUNG,JAWA BARAT,Mikro,Mikro KUR,Mikro Kredit Usaha Rakyat,2024-07-31,200000000.0,60,Medium,Terdaftar KUR di Bank Lain,Sesuai,Tidak,Tidak Lolos,Reject,2,Dalam Perhatian Khusus
41,37,Pegawai pemerintahan/lembaga negara,1983-02-16,K,Kawin,KRAMAT,SENEN,JAKARTA PUSAT,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2023-09-25,396900000.0,208,High,-,Sesuai,Tidak,Lolos,Waiting Approval,3,Kurang Lancar
42,36,Pejabat negara/penyelenggara negara,1975-07-25,K,Kawin,PAKUJAYA,SERPONG UTARA,TANGERANG SELATAN,BANTEN,Konsumer,KMG,Kredit Multi Guna,2020-05-19,460396788.0,112,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
43,19,"Tenaga Medis (Perawat, Bidan, dan sebagainya)",1977-06-20,D,Cerai,GEDONG,PASAR REBO,JAKARTA TIMUR,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2021-10-25,280000000.0,120,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
44,37,Pegawai pemerintahan/lembaga negara,1989-05-31,K,Kawin,PERIUK,PERIUK,TANGERANG,BANTEN,Konsumer,KMG,Kredit Multi Guna,2024-09-19,100000000.0,84,High,-,Sesuai,Tidak,Lolos,Waiting Approval,3,Kurang Lancar
45,37,Pegawai pemerintahan/lembaga negara,1991-07-05,K,Kawin,BAMBU APUS,CIPAYUNG,JAKARTA TIMUR,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2020-05-19,260926762.0,107,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
46,9,"Pengajar (Guru,Dosen)",1967-10-17,K,Kawin,PONDOK KACANG TIMUR,PONDOK AREN,TANGERANG SELATAN,BANTEN,Konsumer,KMG,Kredit Multi Guna,2024-06-12,150000000.0,39,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
47,19,"Tenaga Medis (Perawat, Bidan, dan sebagainya)",1969-11-21,K,Kawin,CIPAYUNG,CIPAYUNG,JAKARTA TIMUR,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2023-01-27,216580000.0,57,High,-,Sesuai,Tidak,Lolos,Waiting Approval,3,Kurang Lancar
48,37,Pegawai pemerintahan/lembaga negara,1973-11-26,K,Kawin,KALIANYAR,TAMBORA,JAKARTA BARAT,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2019-11-29,220000000.0,120,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
49,9,"Pengajar (Guru,Dosen)",1976-02-09,K,Kawin,CILINCING,CILINCING,JAKARTA UTARA,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2025-01-14,50000000.0,60,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
50,11,Pensiunan,1962-08-10,K,Kawin,MALAKA SARI,DUREN SAWIT,JAKARTA TIMUR,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2025-05-27,19700000.0,85,High,-,Sesuai,Tidak,Lolos,Waiting Approval,3,Kurang Lancar
51,13,Wiraswasta,1978-10-04,K,Kawin,JAGAKARSA,JAGAKARSA,JAKARTA SELATAN,DKI JAKARTA,Mikro,Mikro KUR,Mikro Kredit Usaha Rakyat,2022-07-28,300000000.0,60,Medium,Terdaftar KUR di Bank Lain,Tidak Sesuai,Tidak,Tidak Lolos,Reject,2,Dalam Perhatian Khusus
52,9,"Pengajar (Guru,Dosen)",1977-05-27,B,Belum Kawin,RAWABADAK UTARA,KOJA,JAKARTA UTARA,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2021-09-07,100000000.0,48,Medium,-,Sesuai,Ya,Lolos Bersyarat,Reject,2,Dalam Perhatian Khusus
53,13,Wiraswasta,2002-07-02,B,Belum Kawin,KELAPA GADING TIMUR,KELAPA GADING,JAKARTA UTARA,DKI JAKARTA,Mikro,Mikro KUR,Mikro Kredit Usaha Rakyat,2024-02-29,25000000.0,24,Low,Tidak Terdaftar KUR,Tidak Sesuai,Tidak,Lolos,Accept,1,Lancar
54,11,Pensiunan,1958-02-05,K,Kawin,MERUYA UTARA,KEMBANGAN,JAKARTA BARAT,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2025-01-22,65000000.0,36,Medium,-,Sesuai,Ya,Lolos Bersyarat,Reject,2,Dalam Perhatian Khusus
55,37,Pegawai pemerintahan/lembaga negara,1986-07-11,K,Kawin,BINTARA,BEKASI BARAT,BEKASI,JAWA BARAT,Konsumer,KMG,Kredit Multi Guna,2025-02-28,294000000.0,156,Medium,-,Sesuai,Ya,Lolos Bersyarat,Reject,2,Dalam Perhatian Khusus
56,37,Pegawai pemerintahan/lembaga negara,1985-01-16,K,Kawin,PONDOK BAMBU,DUREN SAWIT,JAKARTA TIMUR,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2024-11-01,500000000.0,96,High,-,Sesuai,Tidak,Lolos,Waiting Approval,3,Kurang Lancar
57,13,Wiraswasta,1997-12-11,B,Belum Kawin,MANGGA BESAR,TAMAN SARI,JAKARTA BARAT,DKI JAKARTA,Mikro,Mikro NON KUR,Mikro Non - Kredit Usaha Rakyat,2022-08-24,47000000.0,48,Low,Tidak Terdaftar KUR,Sesuai,Tidak,Lolos,Accept,1,Lancar
58,37,Pegawai pemerintahan/lembaga negara,1986-06-28,K,Kawin,CILANGKAP,CIPAYUNG,JAKARTA TIMUR,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2024-12-02,309000000.0,121,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
59,31,"Transportasi darat (masinis, sopir,kondektur)",1979-12-31,K,Kawin,BATU AMPAR,KRAMAT JATI,JAKARTA TIMUR,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2023-11-03,245800000.0,156,High,-,Sesuai,Tidak,Lolos,Waiting Approval,3,Kurang Lancar
60,11,Pensiunan,1956-08-28,K,Kawin,KEBON MANGGIS,MATRAMAN,JAKARTA TIMUR,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2024-03-27,4900000.0,28,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
61,37,Pegawai pemerintahan/lembaga negara,1979-08-07,K,Kawin,CIHOE,CISEENG,KAB. BOGOR,JAWA BARAT,Konsumer,KMG,Kredit Multi Guna,2022-05-11,283100000.0,180,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
62,31,"Transportasi darat (masinis, sopir,kondektur)",1992-09-21,B,Belum Kawin,CAKUNG TIMUR,CAKUNG,JAKARTA TIMUR,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2024-02-16,209400000.0,168,High,-,Sesuai,Tidak,Lolos,Waiting Approval,3,Kurang Lancar
63,9,"Pengajar (Guru,Dosen)",1983-06-20,K,Kawin,CAKUNG BARAT,CAKUNG,JAKARTA TIMUR,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2023-03-30,167800000.0,60,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
64,99,Lain-Lain,1980-05-18,B,Belum Kawin,BATU AMPAR,KRAMAT JATI,JAKARTA TIMUR,DKI JAKARTA,Konsumer,KPR,Kredit Pemilikan Rumah,2025-06-12,300000000.0,120,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
65,37,Pegawai pemerintahan/lembaga negara,1993-07-01,B,Belum Kawin,SRENGSENG SAWAH,JAGAKARSA,JAKARTA SELATAN,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2024-02-22,214000000.0,48,High,-,Sesuai,Tidak,Lolos,Waiting Approval,3,Kurang Lancar
66,37,Pegawai pemerintahan/lembaga negara,1975-06-24,B,Belum Kawin,PONDOK KOPI,DUREN SAWIT,JAKARTA TIMUR,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2023-09-26,200000000.0,116,Medium,-,Sesuai,Ya,Lolos Bersyarat,Reject,2,Dalam Perhatian Khusus
67,37,Pegawai pemerintahan/lembaga negara,1990-12-21,K,Kawin,DUREN SAWIT,DUREN SAWIT,JAKARTA TIMUR,DKI JAKARTA,Konsumer,KPR,Kredit Pemilikan Rumah,2020-08-07,335412000.0,216,Medium,-,Sesuai,Ya,Lolos Bersyarat,Reject,2,Dalam Perhatian Khusus
68,37,Pegawai pemerintahan/lembaga negara,1984-01-06,K,Kawin,GEDONG,PASAR REBO,JAKARTA TIMUR,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2022-11-16,350000000.0,180,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
69,3,Engineering,1970-12-12,K,Kawin,CIKETINGUDIK,BANTAR GEBANG,BEKASI,JAWA BARAT,Konsumer,KPR,Kredit Pemilikan Rumah,2015-09-11,200000000.0,120,Medium,-,Sesuai,Ya,Lolos Bersyarat,Reject,2,Dalam Perhatian Khusus
70,13,Wiraswasta,1977-08-01,K,Kawin,BLURU KIDUL,SIDOARJO,KAB. SIDOARJO,JAWA TIMUR,Mikro,Mikro KUR,Mikro Kredit Usaha Rakyat,2024-04-22,110000000.0,36,Medium,Terdaftar KUR di Bank Lain,Tidak Sesuai,Tidak,Tidak Lolos,Reject,2,Dalam Perhatian Khusus
71,7,Konsultan/Analis,1979-10-23,K,Kawin,CIGANJUR,JAGAKARSA,JAKARTA SELATAN,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2006-01-17,15000000.0,36,High,-,Sesuai,Tidak,Lolos,Waiting Approval,3,Kurang Lancar
72,99,Lain-Lain,1991-01-02,K,Kawin,CIOMAS RAHAYU,CIOMAS,KAB. BOGOR,JAWA BARAT,Konsumer,KMG,Kredit Multi Guna,2025-01-31,23065000.0,10,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
73,99,Lain-Lain,1972-07-29,K,Kawin,CIJENGKOL,SETU,KAB. BEKASI,JAWA BARAT,Konsumer,KMG,Kredit Multi Guna,2025-01-31,75000000.0,60,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
74,37,Pegawai pemerintahan/lembaga negara,1972-09-02,K,Kawin,CIPINANG MELAYU,MAKASAR,JAKARTA TIMUR,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2024-11-15,31500000.0,69,High,-,Sesuai,Tidak,Lolos,Waiting Approval,3,Kurang Lancar
75,13,Wiraswasta,2003-06-10,B,Belum Kawin,JAMIKA,BOJONG LOA KALER,BANDUNG,JAWA BARAT,Mikro,Mikro KUR,Mikro Kredit Usaha Rakyat,2024-11-20,300000000.0,60,Low,Tidak Terdaftar KUR,Sesuai,Tidak,Lolos,Accept,1,Lancar
76,37,Pegawai pemerintahan/lembaga negara,1971-12-25,K,Kawin,PISANGAN BARU,MATRAMAN,JAKARTA TIMUR,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2022-06-09,344000000.0,60,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
77,9,"Pengajar (Guru,Dosen)",1977-03-29,K,Kawin,CIPINANG MELAYU,MAKASAR,JAKARTA TIMUR,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2025-07-21,52000000.0,60,High,-,Sesuai,Tidak,Lolos,Waiting Approval,3,Kurang Lancar
78,9,"Pengajar (Guru,Dosen)",1982-03-14,K,Kawin,TUGU UTARA,KOJA,JAKARTA UTARA,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2024-10-03,75000000.0,60,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
79,5,Administrasi umum,1966-07-25,K,Kawin,PINANG RANTI,MAKASAR,JAKARTA TIMUR,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2023-07-07,233500000.0,36,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
80,13,Wiraswasta,1974-02-26,K,Kawin,MENANGGAL,GAYUNGAN,SURABAYA,JAWA TIMUR,Mikro,Mikro KUR,Mikro Kredit Usaha Rakyat,2024-10-25,25000000.0,12,High,Terdaftar KUR di Bank Lain,Sesuai,Tidak,Tidak Lolos,Reject,5,Macet
81,19,"Tenaga Medis (Perawat, Bidan, dan sebagainya)",1988-11-05,K,Kawin,PULAU PANGGANG,KEPULAUAN SERIBU UTARA,KEPULAUAN SERIBU,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2024-06-24,305000000.0,84,Medium,-,Sesuai,Ya,Lolos Bersyarat,Reject,2,Dalam Perhatian Khusus
82,11,Pensiunan,1954-03-11,K,Kawin,CITAPEN,CIAWI,KAB. BOGOR,JAWA BARAT,Konsumer,KMG,Kredit Multi Guna,2023-04-10,40000000.0,48,Medium,-,Sesuai,Ya,Lolos Bersyarat,Reject,2,Dalam Perhatian Khusus
83,5,Administrasi umum,1989-03-21,K,Kawin,RAWABADAK SELATAN,KOJA,JAKARTA UTARA,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2022-08-15,200000000.0,84,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
84,99,Lain-Lain,1995-10-10,K,Kawin,PULO GEBANG,CAKUNG,JAKARTA TIMUR,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2025-02-26,24300000.0,10,Medium,-,Sesuai,Ya,Lolos Bersyarat,Reject,2,Dalam Perhatian Khusus
85,5,Administrasi umum,1985-05-23,K,Kawin,KAPUK,CENGKARENG,JAKARTA BARAT,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2020-09-01,327500000.0,120,Medium,-,Sesuai,Ya,Lolos Bersyarat,Reject,2,Dalam Perhatian Khusus
86,99,Lain-Lain,1979-05-08,K,Kawin,PONDOK PINANG,KEBAYORAN LAMA,JAKARTA SELATAN,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2023-01-20,33000000.0,60,High,-,Sesuai,Tidak,Lolos,Waiting Approval,3,Kurang Lancar
87,31,"Transportasi darat (masinis, sopir,kondektur)",1991-05-29,K,Kawin,CIPULIR,KEBAYORAN LAMA,JAKARTA SELATAN,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2022-10-03,230400000.0,180,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
88,5,Administrasi umum,1991-06-08,B,Belum Kawin,ROROTAN,CILINCING,JAKARTA UTARA,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2025-08-27,632000000.0,84,Low,-,Sesuai,Tidak,Lolos,Accept,1,Lancar
89,37,Pegawai pemerintahan/lembaga negara,1971-04-12,D,Cerai,KEBON PALA,MAKASAR,JAKARTA TIMUR,DKI JAKARTA,Konsumer,KMG,Kredit Multi Guna,2024-04-03,136000000.0,48,High,-,Sesuai,Tidak,Lolos,Waiting Approval,3,Kurang Lancar
