Pekerjaan,Status Pernikahan,Produk,Sub Produk,Plafond,Jangka Waktu,Hasil Prescreening SLIK,Hasil Prescreening SIPKUR,Hasil Prescreening Dukcapil,Hasil Prescreening DHNBI,Hasil Prescreening,Status Aplikasi,Kolektabilitas,Usia
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,83000000.0,60,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,38
Pelajar/Mahasiswa,Belum Kawin,Konsumer,Kredit Multi Guna,25000000.0,11,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,45
Pegawai pemerintahan/lembaga negara,Belum Kawin,Konsumer,Kredit Multi Guna,179394147.0,99,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,41
Pegawai pemerintahan/lembaga negara,Belum Kawin,Konsumer,Kredit Multi Guna,24800000.0,10,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,27
"Transportasi darat (masinis, sopir,kondektur)",Kawin,Konsumer,Kredit Multi Guna,190000000.0,180,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,41
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,200000000.0,120,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,47
Lain-Lain,Belum Kawin,Konsumer,Kredit Multi Guna,24000000.0,10,Medium,TIDAK DILAKUKAN,Sesuai,Ya,Lolos Bersyarat,Reject,Lancar,45
Pejabat negara/penyelenggara negara,Belum Kawin,Konsumer,Kredit Multi Guna,1339700000.0,228,Medium,TIDAK DILAKUKAN,Sesuai,Ya,Lolos Bersyarat,Reject,Lancar,39
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,310000000.0,80,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,53
Eksekutif,Kawin,Konsumer,Kredit Multi Guna,75000000.0,41,Medium,TIDAK DILAKUKAN,Sesuai,Ya,Lolos Bersyarat,Reject,Lancar,54
"Pengajar (Guru,Dosen)",Cerai,Konsumer,Kredit Multi Guna,36700000.0,77,Medium,TIDAK DILAKUKAN,Sesuai,Ya,Lolos Bersyarat,Reject,Lancar,54
"Pengajar (Guru,Dosen)",Cerai,Konsumer,Kredit Multi Guna,32000000.0,60,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,52
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,430000000.0,192,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,31
Administrasi umum,Kawin,Konsumer,Kredit Multi Guna,279000000.0,120,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,40
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,14000000.0,60,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,48
"Tenaga Medis (Perawat, Bidan, dan sebagainya)",Kawin,Konsumer,Kredit Pemilikan Rumah,335412000.0,216,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,34
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,150000000.0,72,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,40
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,164600000.0,120,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,57
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,200000000.0,120,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,39
Administrasi umum,Belum Kawin,Konsumer,Kredit Multi Guna,50000000.0,36,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,32
"Transportasi darat (masinis, sopir,kondektur)",Kawin,Konsumer,Kredit Multi Guna,247900000.0,180,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,36
Administrasi umum,Belum Kawin,Konsumer,Kredit Multi Guna,200000000.0,168,Medium,TIDAK DILAKUKAN,Sesuai,Ya,Lolos Bersyarat,Reject,Lancar,32
Pensiunan,Cerai,Konsumer,Kredit Multi Guna,56000000.0,84,Medium,TIDAK DILAKUKAN,Sesuai,Ya,Lolos Bersyarat,Reject,Lancar,61
Lain-Lain,Kawin,Mikro,Mikro Kredit Usaha Rakyat,400000000.0,60,Low,Tidak Terdaftar KUR,Sesuai,Tidak,Lolos,Accept,Lancar,51
Pegawai pemerintahan/lembaga negara,Belum Kawin,Konsumer,Kredit Multi Guna,318500000.0,168,Medium,TIDAK DILAKUKAN,Sesuai,Ya,Lolos Bersyarat,Reject,Lancar,27
"Pengajar (Guru,Dosen)",Belum Kawin,Konsumer,Kredit Multi Guna,186000000.0,120,Medium,TIDAK DILAKUKAN,Sesuai,Ya,Lolos Bersyarat,Reject,Lancar,59
Wiraswasta,Kawin,Mikro,Mikro Kredit Usaha Rakyat,378621000.0,60,High,Terdaftar KUR di Bank Lain,Sesuai,Tidak,Tidak Lolos,Reject,Tidak Lancar,60
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,226800000.0,88,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,51
Ibu rumah tangga,Kawin,Konsumer,Kredit Multi Guna,34600000.0,36,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,40
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Pemilikan Rumah,3000000000.0,120,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,45
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,134000000.0,60,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,29
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,199000000.0,60,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,48
Administrasi umum,Kawin,Konsumer,Kredit Multi Guna,104600000.0,60,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,43
Pensiunan,Kawin,Konsumer,Kredit Multi Guna,19000000.0,24,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,67
Wiraswasta,Kawin,Konsumer,Kredit Multi Guna,420000000.0,103,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,49
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,230000000.0,104,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,49
Lain-Lain,Kawin,Konsumer,Kredit Multi Guna,25000000.0,36,Medium,TIDAK DILAKUKAN,Sesuai,Ya,Lolos Bersyarat,Reject,Lancar,48
Administrasi umum,Kawin,Konsumer,Kredit Multi Guna,121000000.0,60,Medium,TIDAK DILAKUKAN,Sesuai,Ya,Lolos Bersyarat,Reject,Lancar,33
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,30000000.0,60,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,52
Pegawai pemerintahan/lembaga negara,Belum Kawin,Konsumer,Kredit Multi Guna,122600000.0,180,Medium,TIDAK DILAKUKAN,Sesuai,Ya,Lolos Bersyarat,Reject,Lancar,28
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,35000000.0,60,Medium,TIDAK DILAKUKAN,Sesuai,Ya,Lolos Bersyarat,Reject,Lancar,36
Administrasi umum,Kawin,Mikro,Mikro Kredit Usaha Rakyat,200000000.0,48,High,Terdaftar KUR di Bank Lain,Sesuai,Tidak,Tidak Lolos,Reject,Tidak Lancar,56
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,110000000.0,60,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,32
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,237000000.0,120,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,48
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,384800000.0,73,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,54
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,290000000.0,180,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,36
Lain-Lain,Kawin,Konsumer,Kredit Multi Guna,110000000.0,56,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,55
Lain-Lain,Kawin,Konsumer,Kredit Multi Guna,104000000.0,60,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,47
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,584000000.0,229,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,41
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,270000000.0,144,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,48
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,1595104039.0,188,High,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Waiting Approval,Tidak Lancar,42
Wiraswasta,Kawin,Mikro,Mikro Kredit Usaha Rakyat,100000000.0,24,Medium,Terdaftar KUR di Bank Lain,Sesuai,Tidak,Tidak Lolos,Reject,Lancar,43
Pegawai pemerintahan/lembaga negara,Cerai,Konsumer,Kredit Multi Guna,331000000.0,120,Medium,TIDAK DILAKUKAN,Sesuai,Ya,Lolos Bersyarat,Reject,Lancar,42
Lain-Lain,Belum Kawin,Konsumer,Kredit Pemilikan Rumah,160000000.0,240,Low,TIDAK DILAKUKAN,Sesuai,Tidak,Lolos,Accept,Lancar,22
Pegawai pemerintahan/lembaga negara,Kawin,Konsumer,Kredit Multi Guna,434900000.0,239,Medium,TIDAK DILAKUKAN,Sesuai,Ya,Lolos Bersyarat,Reject,Lancar,38
"Pengajar (Guru,Dosen)",Kawin,Konsumer,Kredit Multi Guna,238000000.0,37,Medium,TIDAK DILAKUKAN,Sesuai,Ya,Lolos Bersyarat,Reject,Lancar,57
